launcher,rocket,frame,seconds
11,9,101,4.166666666666667
11,10,107,4.416666666666667
11,11,113,4.666666666666667
11,12,119,4.916666666666667
11,13,125,5.166666666666667
11,14,131,5.416666666666667
11,15,137,5.666666666666667
11,16,143,5.916666666666667
11,17,149,6.166666666666667
11,18,155,6.416666666666667
11,19,161,6.666666666666667
11,20,167,6.916666666666667
11,21,173,7.166666666666667
11,22,179,7.416666666666667
11,23,185,7.666666666666667
11,24,191,7.916666666666667
12,1,53,2.1666666666666665
12,2,59,2.4166666666666665
12,3,65,2.6666666666666665
12,4,71,2.9166666666666665
12,5,77,3.1666666666666665
12,6,83,3.4166666666666665
12,7,89,3.6666666666666665
12,8,95,3.9166666666666665
12,9,101,4.166666666666667
12,10,107,4.416666666666667
12,11,113,4.666666666666667
12,12,119,4.916666666666667
12,13,125,5.166666666666667
12,14,131,5.416666666666667
12,15,137,5.666666666666667
12,16,143,5.916666666666667
12,17,149,6.166666666666667
12,18,155,6.416666666666667
12,19,161,6.666666666666667
12,20,167,6.916666666666667
12,21,173,7.166666666666667
12,22,179,7.416666666666667
12,23,185,7.666666666666667
12,24,191,7.916666666666667
13,1,52,2.125
13,2,58,2.375
13,3,64,2.625
13,4,70,2.875
13,5,76,3.125
13,6,82,3.375
13,7,88,3.625
13,8,94,3.875
13,9,100,4.125
13,10,106,4.375
13,11,112,4.625
13,12,118,4.875
13,13,124,5.125
13,14,130,5.375
13,15,136,5.625
13,16,142,5.875
13,17,148,6.125
13,18,154,6.375
13,19,160,6.625
13,20,166,6.875
13,21,172,7.125
13,22,178,7.375
13,23,184,7.625
13,24,190,7.875
14,1,52,2.125
14,2,58,2.375
14,3,64,2.625
14,4,70,2.875
14,5,76,3.125
14,6,82,3.375
14,7,88,3.625
14,8,94,3.875
14,9,100,4.125
14,10,106,4.375
14,11,112,4.625
14,12,118,4.875
14,13,124,5.125
14,14,130,5.375
14,15,136,5.625
14,16,142,5.875
14,17,148,6.125
14,18,154,6.375
14,19,160,6.625
14,20,166,6.875
14,21,172,7.125
14,22,178,7.375
14,23,184,7.625
14,24,190,7.875
15,1,51,2.0833333333333335
15,2,57,2.3333333333333335
15,3,63,2.5833333333333335
15,4,69,2.8333333333333335
15,5,75,3.0833333333333335
15,6,81,3.3333333333333335
15,7,87,3.5833333333333335
15,8,93,3.8333333333333335
15,9,99,4.083333333333333
15,10,105,4.333333333333333
15,11,111,4.583333333333333
15,12,117,4.833333333333333
15,13,123,5.083333333333333
15,14,129,5.333333333333333
15,15,135,5.583333333333333
15,16,141,5.833333333333333
15,17,147,6.083333333333333
15,18,153,6.333333333333333
15,19,159,6.583333333333333
15,20,165,6.833333333333333
15,21,171,7.083333333333333
15,22,177,7.333333333333333
15,23,183,7.583333333333333
15,24,189,7.833333333333333
16,1,52,2.125
16,2,58,2.375
16,3,64,2.625
16,4,70,2.875
16,5,76,3.125
16,6,82,3.375
16,7,88,3.625
16,8,94,3.875
16,9,100,4.125
16,10,106,4.375
16,11,112,4.625
16,12,118,4.875
16,13,124,5.125
16,14,130,5.375
16,15,136,5.625
16,16,142,5.875
16,17,148,6.125
16,18,154,6.375
16,19,160,6.625
16,20,166,6.875
16,21,172,7.125
16,22,178,7.375
16,23,184,7.625
16,24,190,7.875
17,1,53,2.1666666666666665
17,2,59,2.4166666666666665
17,3,65,2.6666666666666665
17,4,71,2.9166666666666665
17,5,77,3.1666666666666665
17,6,83,3.4166666666666665
17,7,89,3.6666666666666665
17,8,95,3.9166666666666665
17,9,101,4.166666666666667
17,10,107,4.416666666666667
17,11,113,4.666666666666667
17,12,119,4.916666666666667
17,13,125,5.166666666666667
17,14,131,5.416666666666667
17,15,137,5.666666666666667
17,16,143,5.916666666666667
17,17,149,6.166666666666667
17,18,155,6.416666666666667
17,19,161,6.666666666666667
17,20,167,6.916666666666667
17,21,173,7.166666666666667
17,22,179,7.416666666666667
17,23,185,7.666666666666667
17,24,191,7.916666666666667
18,1,52,2.125
18,2,58,2.375
18,3,64,2.625
18,4,70,2.875
